detection_id,score,frame_id,est_fontsize,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_w,bbox_h,kisolation_w,kisolation_h
0,0.78475624,226,14,658,665,97,130,7,33,13.505154639175203,33
0,0.7849839,227,14,658,665,97,130,7,33,13.51020408163265,33
0,0.78627366,228,13,658,665,98,130,7,32,13.505050505050463,32
0,0.7840651,229,14,658,665,97,130,7,33,13.509999999999991,33
0,0.78475624,230,14,658,665,97,130,7,33,13.514851485148483,33
0,0.78214586,231,14,658,665,97,130,7,33,13.519607843137237,33
0,0.781759,232,14,658,665,97,130,7,33,13.524271844660234,33
0,0.78178066,233,13,658,665,98,130,7,32,13.519230769230717,32
0,0.7796766,234,13,658,665,98,130,7,32,13.514285714285734,32
0,0.78214586,235,14,658,665,97,130,7,33,13.518867924528308,33
0,0.781759,236,14,658,665,97,130,7,33,13.523364485981347,33
0,0.7803479,237,14,658,665,97,130,7,33,13.527777777777828,33
0,0.78475624,238,14,658,665,97,130,7,33,13.532110091743107,33
0,0.7849839,239,14,658,665,97,130,7,33,13.536363636363603,33
0,0.78627366,240,13,658,665,98,130,7,32,13.531531531531527,32
0,0.7840651,241,14,658,665,97,130,7,33,13.535714285714334,33
0,0.78475624,242,14,658,665,97,130,7,33,13.539823008849567,33
0,0.78214586,243,14,658,665,97,130,7,33,13.543859649122851,33
0,0.781759,244,14,658,665,97,130,7,33,13.547826086956547,33
0,0.78178066,245,13,658,665,98,130,7,32,13.543103448275815,32
0,0.7796766,246,13,658,665,98,130,7,32,13.538461538461547,32
0,0.78214586,247,14,658,665,97,130,7,33,13.54237288135596,33
0,0.781759,248,14,658,665,97,130,7,33,13.546218487394981,33
0,0.7803479,249,14,658,665,97,130,7,33,13.549999999999955,33
0,0.78353906,250,14,658,665,97,130,7,33,13.553719008264466,33
0,0.7817427,251,14,658,665,97,130,7,33,13.557377049180332,33
0,0.78357345,252,13,658,665,98,130,7,32,13.552845528455236,32
0,0.78009546,253,14,658,665,97,130,7,33,13.556451612903174,33
0,0.7824806,254,14,658,665,97,130,7,33,13.559999999999945,33
0,0.7792678,255,14,658,665,97,130,7,33,13.563492063492049,33
0,0.7830354,256,14,658,665,97,130,7,33,13.566929133858252,33
0,0.796266,257,14,658,665,97,130,7,33,13.5703125,33
0,0.79208076,258,14,658,665,97,130,7,33,13.573643410852696,33
0,0.79163384,259,14,658,665,97,130,7,33,13.576923076923094,33
0,0.7901892,260,14,658,665,97,130,7,33,13.58015267175574,33
0,0.7891927,261,14,658,665,97,130,7,33,13.583333333333371,33
0,0.78913623,262,14,658,665,97,130,7,33,13.586466165413526,33
0,0.7920995,263,14,658,665,97,130,7,33,13.589552238805936,33
